departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,producto,precio,Year,Month,Day
18,CAQUETA,18001,FLORENCIA,EDS LA PERDIZ,TERPEL,BIODIESEL,8620,2018,5,2
52,NARIÑO,52250,EL CHARCO,ESTACION DE SERVICIO DAYANA,BIOMAX,GASOLINA CORRIENTE,7553,2018,5,2
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,GREEN EDS BARRANQUILLA,TEXACO,BIODIESEL,8330,2018,5,2
76,VALLE DEL CAUCA,76109,BUENAVENTURA,EDS EL RETORNO DE CHUSACA,MOBIL,BIODIESEL,8390,2018,5,2
05,ANTIOQUIA,05495,NECHI,ESTACION DE SERVICIO NECHI,TERPEL,BIODIESEL,8081,2018,5,2
76,VALLE DEL CAUCA,76892,YUMBO,SERVICENTRO PLAZA BOLIVAR,MOBIL,GASOLINA CORRIENTE,8699,2018,5,2
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO AUTOMOTRIZ GUADUALES,TERPEL,GASOLINA CORRIENTE,8650,2018,5,2
25,CUNDINAMARCA,25269,FACATATIVA,ESTACION DE SERVICIOS Y DISTRIBUIDORA SANTA CLARA,BIOMAX,ACPM - DIESEL,8277,2018,5,2
76,VALLE DEL CAUCA,76109,BUENAVENTURA,ESTACION DE SERVICIOS AUTOMOTRICES Y LUBRICANTES VALLEJO,TEXACO,GASOLINA EXTRA,8051,2018,5,2
68,SANTANDER,68147,CAPITANEJO,DISTRIBUCIONES CAPITANEJO,TERPEL,BIODIESEL,8450,2018,5,2
20,CESAR,20011,AGUACHICA,ESTACION DE SERVICIO EL JUNCAL,TERPEL,GASOLINA CORRIENTE,7330,2018,5,2
08,ATLANTICO,08433,MALAMBO,ESTACION DE SERVICIO DISTRACOM PARQUE INDUSTRIAL,TEXACO,BIODIESEL,8199,2018,5,2
13,BOLIVAR,13140,CALAMAR,EDS CALAMAR DEL RIO,BIOMAX,BIODIESEL,7900,2018,5,2
25,CUNDINAMARCA,25799,TENJO,EDS TERPEL SANTA TERESA,TERPEL,GASOLINA CORRIENTE,8690,2018,5,2
52,NARIÑO,52079,BARBACOAS,ESTACION DE SERVICIO COMBUSTIBLES LANDAZURY,TEXACO,GASOLINA CORRIENTE,7200,2018,5,2
13,BOLIVAR,13430,MAGANGUE,ESTACION DE SERVICIO RIOMAG,PETROMIL,BIODIESEL,8080,2018,5,2
05,ANTIOQUIA,05686,SANTA ROSA DE OSOS,ESTACION SANTA ROSA,MOBIL,BIODIESEL,8490,2018,5,2
63,QUINDIO,63470,MONTENEGRO,ESTACION DE SERVICIOS GASOLY,TERPEL,BIODIESEL,8431,2018,5,2
25,CUNDINAMARCA,25873,VILLAPINZON,ESTACION DE SERVICIO VILLA PAULA No 1,TERPEL,GASOLINA CORRIENTE,8985,2018,5,2
76,VALLE DEL CAUCA,76275,FLORIDA,ESTACION  DE SERVICIO SARAH,PETROMIL,BIODIESEL,8500,2018,5,2
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,SESCO,TERPEL,BIODIESEL,8550,2018,5,2
68,SANTANDER,68575,PUERTO WILCHES,ESTACION DE COMBUSTIBLES SERVI YA,TERPEL,GASOLINA CORRIENTE,8780,2018,5,2
52,NARIÑO,52835,TUMACO,COMBUSTIBLES MAJAGUAL,BIOMAX,GASOLINA CORRIENTE,7053,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,EL TESORO ESTACION DE SERVICIO AUTOMOTRIZ,MOBIL,ACPM - DIESEL,8187,2018,5,2
15,BOYACA,15753,SOATA,ESTACION DE SERVICIO SOATA LA AVENIDA,ZEUSS,ACPM - DIESEL,8860,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO AUTOMOTRIZ TERPEL GARROLLANTAS,TERPEL,BIODIESEL,8190,2018,5,2
54,NORTE DE SANTANDER,54001,SAN JOSE DE CUCUTA,ESTACION DE SERVICIO TERPEL EL ROSAL,TERPEL,GASOLINA CORRIENTE,6725,2018,5,2
52,NARIÑO,52418,LOS ANDES (SOTOMAYOR),ESTACION DE SERVICIO SAN ISIDRO,BIOMAX,BIODIESEL,7200,2018,5,2
47,MAGDALENA,47001,SANTA MARTA,EDS Y CENTRO DE NEGOCIOS PORTAL DEL CARIBE,BIOMAX,GASOLINA CORRIENTE,8850,2018,5,2
05,ANTIOQUIA,05541,EL PEÑOL,EDS LA ENTRADA,TERPEL,BIODIESEL,8709,2018,5,2
41,HUILA,41001,NEIVA,COMPANIA COLOMBIANA DE HIDROCARBUROS SA NEIVA,PETROBRAS,BIODIESEL,8405,2018,5,2
20,CESAR,20238,EL COPEY,ESTACION DE SERVICIO SAN JOSE,ECOS,BIODIESEL,6900,2018,5,2
05,ANTIOQUIA,05579,PUERTO BERRIO,SERVICENTRO MARGARITA,BIOMAX,GASOLINA CORRIENTE,8920,2018,5,2
70,SUCRE,70001,SINCELEJO,EDS FORD,TEXACO,GASOLINA CORRIENTE,8790,2018,5,2
66,RISARALDA,66001,PEREIRA,ESTACION DE SERVICIO LA 17 CON CARRERA 17,TERPEL,GASOLINA CORRIENTE,8860,2018,5,2
25,CUNDINAMARCA,25307,GIRARDOT,BRIOGAS  EL PEÑON,BIOMAX,GASOLINA CORRIENTE,8940,2018,5,2
76,VALLE DEL CAUCA,76892,YUMBO,ESTACION DE SERVICIO TEXACO 30 YUMBO,TEXACO,BIODIESEL,8185,2018,5,2
23,CORDOBA,23001,MONTERIA,ESTACION EL PUENTE,MOBIL,BIODIESEL,8540,2018,5,2
70,SUCRE,70820,TOLU,SAVE E D S MIRAMAR,SAVE,BIODIESEL,8460,2018,5,2
66,RISARALDA,66075,BALBOA,ESTACION DE SERVICIO BALBOA,BIOMAX,BIODIESEL,8443,2018,5,2
76,VALLE DEL CAUCA,76563,PRADERA,ESTACION DE SERVICIO SERVICENTRO YIRETH,TERPEL,BIODIESEL,8430,2018,5,2
52,NARIÑO,52835,TUMACO,ESTACION DE SERVICIO HELSIS,TERPEL,GASOLINA CORRIENTE,7400,2018,5,2
25,CUNDINAMARCA,25269,FACATATIVA,ESTACION DE SERVICIO EL CLUB,BIOMAX,GASOLINA CORRIENTE,8770,2018,5,2
44,LA GUAJIRA,44090,DIBULLA,ESTACION DE SERVICIOS LOS DOS JOSE,AYATAWACOOP,BIODIESEL,5750,2018,5,2
15,BOYACA,15572,PUERTO BOYACA,ESTACION DE SERVICIO JAV,TERPEL,ACPM - DIESEL,8165,2018,5,2
25,CUNDINAMARCA,25286,FUNZA,SERVICENTRO ESSO DE OCCIDENTE,MOBIL,GASOLINA CORRIENTE,8988,2018,5,2
13,BOLIVAR,13006,ACHI,ESTACION DE SERVICIO AUTOMOTRIZ PAPITO,TERPEL,BIODIESEL,8515,2018,5,2
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO GREEN EDS NORUEGA,MOBIL,GASOLINA CORRIENTE,8690,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO TEXACO 38,TEXACO,ACPM - DIESEL,8450,2018,5,2
54,NORTE DE SANTANDER,54800,TEORAMA,ESTACION DE GASOLINA SAN ISIDRO,TERPEL,BIODIESEL,5809,2018,5,2
19,CAUCA,19050,ARGELIA,SERVICENTRO EL PLATEADO,TERPEL,BIODIESEL,8890,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO CALLE 80 CARRERA 24,TEXACO,BIODIESEL,8680,2018,5,2
15,BOYACA,15176,CHIQUINQUIRA,ESTACION DE SERVICIO AUTOMOTRIZ ESTACION Y LUBRICANTES SAN ANTONIO GNV,MOBIL,ACPM - DIESEL,8515,2018,5,2
23,CORDOBA,23464,MOMIL,ESTACION DE SERVICIO ORO NEGRO MOMIL,TERPEL,GASOLINA CORRIENTE,8900,2018,5,2
19,CAUCA,19548,PIENDAMO,ESTACION DE SERVICIO PUBENZA,TERPEL,GASOLINA CORRIENTE,8895,2018,5,2
73,TOLIMA,73408,LERIDA,ESTACION DE SERVICIO TERPEL LA LLAMA,TERPEL,BIODIESEL,8165,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO AV CIUDAD DE CALI,TERPEL,BIODIESEL,8241,2018,5,2
08,ATLANTICO,08758,SOLEDAD,ESTACION DE SERVICIO TERPEL VILLA ESTADIO,TERPEL,BIODIESEL,8010,2018,5,2
85,CASANARE,85225,NUNCHIA,ESTACION DE SERVICIO AUTOMOTRIZ BRIO LA YOPALOSA,BIOMAX,ACPM - DIESEL,8470,2018,5,2
68,SANTANDER,68547,PIEDECUESTA,ESTACION DE SERVICIO TRANSPIEDECUESTA,TERPEL,GASOLINA CORRIENTE,8650,2018,5,2
08,ATLANTICO,08078,BARANOA,EDS SANTA ANA,TERPEL,GASOLINA CORRIENTE,8849,2018,5,2
25,CUNDINAMARCA,25402,LA VEGA,EDS EL PROGRESO,BIOMAX,BIODIESEL,8350,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO EL DARIEN,TEXACO,BIODIESEL,8440,2018,5,2
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO AUTOMOTRIZ COMBUSCOL SAN FERNANDO,TEXACO,BIODIESEL,8580,2018,5,2
25,CUNDINAMARCA,25402,LA VEGA,ESTACION DE SERVICIO LA GUARDIOLA,TERPEL,GASOLINA CORRIENTE,8970,2018,5,2
05,ANTIOQUIA,05129,CALDAS,SERVICENTRO CALDAS,TERPEL,GASOLINA CORRIENTE,8800,2018,5,2
86,PUTUMAYO,86320,ORITO,ESTACION DE SERVICIO LA CAROLINA,TERPEL,BIODIESEL,7250,2018,5,2
20,CESAR,20400,LA JAGUA DE IBIRICO,ESTACION DE SERVICIO AUTOMOTRIZ MARLI,SAVE,GASOLINA CORRIENTE,6930,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO AUTOMOTRIZ TERPEL COLON,TERPEL,GASOLINA CORRIENTE,8700,2018,5,2
19,CAUCA,19001,POPAYAN,ESTACION DE SERVICIOS PALACE POPAYAN,TERPEL,BIODIESEL,8950,2018,5,2
50,META,50001,VILLAVICENCIO,ESTACION DE SERVICIO GASOLLANO,BIOMAX,ACPM - DIESEL,8515,2018,5,2
47,MAGDALENA,47555,PLATO,EDS COMBUSTIBLES SAN NICOLAS,ECOS,BIODIESEL,8080,2018,5,2
05,ANTIOQUIA,05001,MEDELLIN,BREASCOL EDS TERPEL TERMINAL,TERPEL,GASOLINA CORRIENTE,8580,2018,5,2
25,CUNDINAMARCA,25718,SASAIMA,MONTALLANTAS Y LUBRICANTESEL TRIANGULO AD SEDE SASAIMA,TEXACO,BIODIESEL,8950,2018,5,2
73,TOLIMA,73001,IBAGUE,ESTACION DE SERVICIO MILENIUM GAS EL JORDAN,TERPEL,GASOLINA CORRIENTE,8770,2018,5,2
70,SUCRE,70265,GUARANDA,ESTACION DE SERVICIO TEXAS DE GUARANDA,TERPEL,BIODIESEL,8163,2018,5,2
19,CAUCA,19573,PUERTO TEJADA,ESTACION DE SERVICIO RIO GUENGUE,TERPEL,GASOLINA CORRIENTE,8950,2018,5,2
50,META,50313,GRANADA,EDS MARTINA,TEXACO,ACPM - DIESEL,8600,2018,5,2
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO TERPEL LOS ALCAZARES,TERPEL,BIODIESEL,8110,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,FLOTA LA MACARENA S A,MOBIL,BIODIESEL,8320,2018,5,2
70,SUCRE,70001,SINCELEJO,ESTACIÓN DE SERVICIO SAN MIGUEL SAS,TEXACO,BIODIESEL,8300,2018,5,2
54,NORTE DE SANTANDER,54001,SAN JOSE DE CUCUTA,ESTACION DE SERVICIO LOS LIBERTADORES,TERPEL,BIODIESEL,5953,2018,5,2
76,VALLE DEL CAUCA,76275,FLORIDA,ESTACION DE SERVICIO BRISAS DEL VALLE,BIOMAX,GASOLINA CORRIENTE,8850,2018,5,2
25,CUNDINAMARCA,25175,CHIA,ESTACION DE SERVICIO PETROBRAS SANTA ANA,PETROBRAS,GASOLINA CORRIENTE,8810,2018,5,2
52,NARIÑO,52838,TUQUERRES,SERVICENTRO EL PINAR,BIOMAX,GASOLINA CORRIENTE,6800,2018,5,2
17,CALDAS,17614,RIOSUCIO,ESTACION DE SERVICIO LA FORTUNA,BIOMAX,BIODIESEL,8615,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS TERPEL TERMINAL BOGOTA,TERPEL,ACPM - DIESEL,8330,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION TEQUENDAMA,MOBIL,GASOLINA CORRIENTE,8599,2018,5,2
05,ANTIOQUIA,05197,COCORNA,ESTACION DE SERVICIO AUTOMOTRIZ EL MOTORISTA,ZEUSS,GASOLINA CORRIENTE,8950,2018,5,2
25,CUNDINAMARCA,25898,ZIPACON,ESTACION DE SERVICIO BRIO LA PEPITA ZIPACON,BIOMAX,BIODIESEL,8270,2018,5,2
25,CUNDINAMARCA,25718,SASAIMA,ESTACION DE SERVICIO BRIO VILLA LOTOS,BIOMAX,ACPM - DIESEL,8117,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS PETROBRAS LA PALMA,PETROBRAS,GASOLINA CORRIENTE,8810,2018,5,2
52,NARIÑO,52835,TUMACO,ESTACION DE SERVICIO HELSIS,TERPEL,BIODIESEL,7340,2018,5,2
08,ATLANTICO,08001,BARRANQUILLA,ESTACION DE SERVICIO AUTOMOTRIZ SAN ANTONIO,TEXACO,GASOLINA CORRIENTE,8820,2018,5,2
05,ANTIOQUIA,05310,GOMEZ PLATA,ESTACION DE SERVICIO EL POMO,ZEUSS,BIODIESEL,8781,2018,5,2
25,CUNDINAMARCA,25758,SOPO,ESTACION DE SERVICIO LA NUEVA DIANA,MOBIL,ACPM - DIESEL,8123,2018,5,2
25,CUNDINAMARCA,25407,LENGUAZAQUE,ESTACION DE SERVICIO LA AVENIDA DE LENGUAZAQUE,BIOMAX,BIODIESEL,8592,2018,5,2
52,NARIÑO,52079,BARBACOAS,FLUVIAL COMBUSTIBLES Y LUBRICANTES CLEMENTE,BIOMAX,BIODIESEL,6900,2018,5,2
25,CUNDINAMARCA,25386,LA MESA,ESTACION DE SERVICIO SAN JOAQUIN,BIOMAX,BIODIESEL,8800,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS TERPEL PONTEVEDRA,TERPEL,GASOLINA CORRIENTE,8548,2018,5,2
20,CESAR,20001,VALLEDUPAR,LA ESTACION DE SERVICIO AUTOMOTRIZ ESMERALDA NO 1,PUMA,BIODIESEL,6690,2018,5,2
70,SUCRE,70124,CAIMITO,ESTACION CAIMITO,TEXACO,BIODIESEL,8600,2018,5,2
23,CORDOBA,23182,CHINU,ESTACION DE SERVICIO MOBIL 3,PETROMIL,GASOLINA CORRIENTE,8599,2018,5,2
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICIO CLARET,BIOMAX,GASOLINA CORRIENTE,7200,2018,5,2
54,NORTE DE SANTANDER,54498,OCAÑA,SERVICENTRO AVENIDA,COOMULPINORT,GASOLINA CORRIENTE,7130,2018,5,2
13,BOLIVAR,13001,CARTAGENA DE INDIAS,EDS TERPEL ASTILLEROS,TERPEL,GASOLINA CORRIENTE,8569,2018,5,2
44,LA GUAJIRA,44279,FONSECA,ESTACION DE SERVICIO JG,AYATAWACOOP,BIODIESEL,5836,2018,5,2
68,SANTANDER,68001,BUCARAMANGA,ESTACION DE SERVICIO TERPEL LA ROSITA,TERPEL,GASOLINA CORRIENTE,8620,2018,5,2
76,VALLE DEL CAUCA,76892,YUMBO,LA GLORIETA,MOBIL,GASOLINA CORRIENTE,8570,2018,5,2
25,CUNDINAMARCA,25769,SUBACHOQUE,ESTACION MOBIL SUBACHOQUE LA YE,MOBIL,ACPM - DIESEL,8450,2018,5,2
86,PUTUMAYO,86568,PUERTO ASIS,ESTACION DE SERVICIO SERVICENTRO LA COCHA,TERPEL,BIODIESEL,7070,2018,5,2
47,MAGDALENA,47001,SANTA MARTA,ESTACION DE SERVICIO AUTOMOTRIZ TERPEL FERROCARRIL SANTA MARTA,TERPEL,BIODIESEL,8110,2018,5,2
23,CORDOBA,23182,CHINU,ESTACION DE SERVICIO GASOLINERA CARRANZO,TERPEL,BIODIESEL,8352,2018,5,2
15,BOYACA,15572,PUERTO BOYACA,ESTACION DE SERVICIO JAV,TERPEL,BIODIESEL,8165,2018,5,2
25,CUNDINAMARCA,25793,TAUSA,ESTACION DE SERVICIO SAN FRANCISCO,PETROBRAS,GASOLINA CORRIENTE,8906,2018,5,2
52,NARIÑO,52378,LA CRUZ,SERVICENTRO PRADOS DEL LLANO GRANDE,PETROMIL,GASOLINA CORRIENTE,6950,2018,5,2
19,CAUCA,19001,POPAYAN,EDS AUTOMOTRIZ EL TRIANGULO ROJO,MOBIL,BIODIESEL,8830,2018,5,2
50,META,50226,CUMARAL,ESTACION DE SERVICIO LA CASCADA,TERPEL,BIODIESEL,8490,2018,5,2
05,ANTIOQUIA,05001,MEDELLIN,SERVICENTRO ESSO SERGIO RAMIREZ,MOBIL,GASOLINA CORRIENTE,8859,2018,5,2
23,CORDOBA,23001,MONTERIA,SOPROAS,MOBIL,BIODIESEL,7800,2018,5,2
25,CUNDINAMARCA,25754,SOACHA,ESTACION DE SERVICIO SERVICENTRO ESSO SANCHEZ,MOBIL,ACPM - DIESEL,8439,2018,5,2
05,ANTIOQUIA,05266,ENVIGADO,ESTACION DE SERVICIO EL TRANSITO,MOBIL,BIODIESEL,8410,2018,5,2
50,META,50006,ACACIAS,ESTACION DE SERVICIO MARIA ALEJANDRA No 2,BIOMAX,BIODIESEL,8510,2018,5,2
15,BOYACA,15223,CUBARA,ESTACION DE SERVICIO LA GRAN CEIBA,TERPEL,ACPM - DIESEL,7050,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO TERPEL LAS PALMAS,TERPEL,GASOLINA CORRIENTE,8580,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO ARGELIA,BIOMAX,GASOLINA CORRIENTE,8763,2018,5,2
05,ANTIOQUIA,05686,SANTA ROSA DE OSOS,ESTACION DE SERVICIO EL PORTAL JB,TEXACO,BIODIESEL,8490,2018,5,2
47,MAGDALENA,47001,SANTA MARTA,EDS MAMATOCO,PUMA,BIODIESEL,8330,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,SERVICENTRO ESSO AVENIDA SUBA ESTACION DE SERVICIO AUTOMOTRIZ,MOBIL,GASOLINA CORRIENTE,8699,2018,5,2
68,SANTANDER,68001,BUCARAMANGA,ESTACION DE SERVICIO EL BUENO,TERPEL,GASOLINA CORRIENTE,8669,2018,5,2
68,SANTANDER,68001,BUCARAMANGA,SERVICENTRO BUCAROS,TERPEL,BIODIESEL,8170,2018,5,2
25,CUNDINAMARCA,25899,ZIPAQUIRA,ESTACION DE SERVICIO EL LICEO,PETROBRAS,ACPM - DIESEL,8437,2018,5,2
08,ATLANTICO,08001,BARRANQUILLA,ESTACION DE SERVICIO CEVILLAR,ECOS,GASOLINA CORRIENTE,8420,2018,5,2
25,CUNDINAMARCA,25295,GACHANCIPA,EDS LA AURORA,ESSO,GASOLINA CORRIENTE,8938,2018,5,2
76,VALLE DEL CAUCA,76520,PALMIRA,ESTACION DE SERVICIO LAS PALMERAS PALMIRA,MOBIL,GASOLINA CORRIENTE,8727,2018,5,2
08,ATLANTICO,08001,BARRANQUILLA,ESTACION DE SERVICIOS BRIO LA 27,BIOMAX,BIODIESEL,7990,2018,5,2
19,CAUCA,19573,PUERTO TEJADA,ESTACION DE SERVICIO AUTOMOTRIZ  DICOL OCCIDENTE PUERTO TEJADA,PETROMIL,GASOLINA CORRIENTE,8995,2018,5,2
25,CUNDINAMARCA,25377,LA CALERA,ESTACION DE SERVICIO BRIO PATIOS,BRIO,BIODIESEL,8310,2018,5,2
52,NARIÑO,52019,SAN JOSE DE ALBAN,ESTACION DE SERVICIO SAN JOSE,TERPEL,BIODIESEL,6730,2018,5,2
76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,ESTACION DE SERVICIO PRESIDENTE,TERPEL,BIODIESEL,8060,2018,5,2
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO SERCOMAS 11 DE CALI,TEXACO,BIODIESEL,8550,2018,5,2
25,CUNDINAMARCA,25754,SOACHA,EDS SAN MATEO,PETROBRAS,ACPM - DIESEL,7919,2018,5,2
70,SUCRE,70001,SINCELEJO,ESTACION DE SERVICIO AUTOMOTRIZ EXITO LA SELVA,MOBIL,GASOLINA CORRIENTE,8770,2018,5,2
76,VALLE DEL CAUCA,76130,CANDELARIA,ESTACION DE SERVICIO VILLAGORGONA,TERPEL,BIODIESEL,8160,2018,5,2
05,ANTIOQUIA,05318,GUARNE,ESTACION DE SERVICIO AUTOMOTRIZ EL RETORNO,TERPEL,BIODIESEL,8400,2018,5,2
63,QUINDIO,63401,LA TEBAIDA,SERVICENTRO LA NUEVA HERRADURA,TERPEL,BIODIESEL,8086,2018,5,2
76,VALLE DEL CAUCA,76250,EL DOVIO,ESTACION DE SERVICIO COOTRANSDOVIO,TERPEL,BIODIESEL,8497,2018,5,2
20,CESAR,20710,SAN ALBERTO,ESTACION DE SERVICIO SAN ALBERTO,TERPEL,GASOLINA CORRIENTE,7522,2018,5,2
52,NARIÑO,52019,SAN JOSE DE ALBAN,COMBUSTIBLES Y LUBRICANTES DEL NORTE,TERPEL,BIODIESEL,6730,2018,5,2
05,ANTIOQUIA,05887,YARUMAL,BOMBA IMPERIO,TERPEL,BIODIESEL,8448,2018,5,2
05,ANTIOQUIA,05001,MEDELLIN,TERPEL PALENQUE,TERPEL,GASOLINA CORRIENTE,8959,2018,5,2
41,HUILA,41551,PITALITO,ESTACION DE SERVICIO BELLO HORIZONTE,TERPEL,BIODIESEL,8880,2018,5,2
68,SANTANDER,68001,BUCARAMANGA,EDS REAL DE MINAS SA,TERPEL,GASOLINA CORRIENTE,8848,2018,5,2
20,CESAR,20011,AGUACHICA,ESTACION DE SERVICIO EL JUNCAL,TERPEL,BIODIESEL,7080,2018,5,2
85,CASANARE,85225,NUNCHIA,ESTACION DE SERVICIO AUTOMOTRIZ BRIO LA YOPALOSA,BIOMAX,BIODIESEL,8470,2018,5,2
50,META,50006,ACACIAS,ESTACION DE SERVICIO MOBIL CANAGUARO,MOBIL,ACPM - DIESEL,8676,2018,5,2
25,CUNDINAMARCA,25815,TOCAIMA,SERVITOCAIMA,TERPEL,ACPM - DIESEL,8540,2018,5,2
25,CUNDINAMARCA,25175,CHIA,ESTACION DE SERVICIO CMAR SAN FRANCISCO,ESSO,BIODIESEL,8250,2018,5,2
68,SANTANDER,68572,PUENTE NACIONAL,ESTACION DE SERVICIO EL TRIUNFO - PUENTE NACIONAL,OCTANO,BIODIESEL,8375,2018,5,2
52,NARIÑO,52405,LEIVA,ESTACION DE SERVICIO AUTOCENTRO LAS DELICIAS,TEXACO,GASOLINA CORRIENTE,7500,2018,5,2
52,NARIÑO,52405,LEIVA,ESTACIÓN DE SERVICIO SANTA LUCIA NARIÑO,BIOMAX,GASOLINA CORRIENTE,7000,2018,5,2
13,BOLIVAR,13657,SAN JUAN NEPOMUCENO,ESTACION DE SERVICIO ANA TERESA,ZEUSS,GASOLINA CORRIENTE,8700,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION EL CARMEN SAS,TERPEL,GASOLINA CORRIENTE,8640,2018,5,2
52,NARIÑO,52835,TUMACO,ESTACION DE SERVICIO ISLA DORADA,BIOMAX,GASOLINA CORRIENTE,7200,2018,5,2
05,ANTIOQUIA,05376,LA CEJA,ESTACION DE SERVICIOS LOS CEDROS,TERPEL,BIODIESEL,8590,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,EL EXITO VIA AL LLANO,MOBIL,BIODIESEL,8446,2018,5,2
54,NORTE DE SANTANDER,54003,ABREGO,ESTACION DE SERVICIO EL CANAL,TERPEL,GASOLINA CORRIENTE,6700,2018,5,2
25,CUNDINAMARCA,25805,TIBACUY,ESTACION TIBACUY,BIOMAX,ACPM - DIESEL,8539,2018,5,2
25,CUNDINAMARCA,25099,BOJACA,EDS ADESSERGO SAN ALFONSO,PETROBRAS,ACPM - DIESEL,8159,2018,5,2
25,CUNDINAMARCA,25426,MACHETA,ESTACION DE SERVICIO MACHETA,TERPEL,ACPM - DIESEL,8601,2018,5,2
15,BOYACA,15238,DUITAMA,EDS LA ESMERALDA,BIOMAX,ACPM - DIESEL,8362,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO TERPEL JAVERIANA,TERPEL,BIODIESEL,8080,2018,5,2
08,ATLANTICO,08573,PUERTO COLOMBIA,ESTACION DE SERVICIO SERVICAMPESTRE LTDA,TERPEL,GASOLINA CORRIENTE,8800,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO EL PORTAL,MOBIL,ACPM - DIESEL,8300,2018,5,2
66,RISARALDA,66001,PEREIRA,ESTACION DE SERVICIO COOCHOFERES EL RIO,TERPEL,BIODIESEL,8255,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO EL PORTAL,MOBIL,GASOLINA CORRIENTE,8660,2018,5,2
66,RISARALDA,66001,PEREIRA,EDS SANTA HELENA,TERPEL,BIODIESEL,8585,2018,5,2
63,QUINDIO,63401,LA TEBAIDA,ESTACION AGRICOLA MONTERREY,TERPEL,BIODIESEL,8656,2018,5,2
70,SUCRE,70001,SINCELEJO,ESTACION DE SERVICIO SUPER ESTACION LA GALLERA,TERPEL,GASOLINA CORRIENTE,8740,2018,5,2
66,RISARALDA,66572,PUEBLO RICO,BOMBA LA ESPERANZA,TERPEL,BIODIESEL,8613,2018,5,2
73,TOLIMA,73200,COELLO,EDS LA MONEDA,TERPEL,GASOLINA CORRIENTE,8820,2018,5,2
05,ANTIOQUIA,05360,ITAGUI,EDS  TERPEL LA CEIBA,TERPEL,GASOLINA CORRIENTE,8630,2018,5,2
08,ATLANTICO,08001,BARRANQUILLA,ESTACION DE SERVICIO DISTRACOM OLAYA HERRERA,MOBIL,BIODIESEL,8131,2018,5,2
50,META,50573,PUERTO LOPEZ,ESTACION DE SERVICIO YACUANA,BIOMAX,BIODIESEL,8490,2018,5,2
66,RISARALDA,66001,PEREIRA,ESTACION DE SERVICIO PARQUE OLAYA,TERPEL,BIODIESEL,8500,2018,5,2
13,BOLIVAR,13744,SIMITI,GASOLINERIA LA ESPECIAL,TERPEL,BIODIESEL,8489,2018,5,2
76,VALLE DEL CAUCA,76109,BUENAVENTURA,ESTACION DE SERVICIOS EL OASIS II SAS,MOBIL,BIODIESEL,8216,2018,5,2
05,ANTIOQUIA,05266,ENVIGADO,ESTACION DE SERVICIO LA 43 - ENVIGADO,BIOMAX,BIODIESEL,8410,2018,5,2
13,BOLIVAR,13001,CARTAGENA DE INDIAS,ESTACION DE SERVICIO ESSO SAN FELIPE,MOBIL,BIODIESEL,8515,2018,5,2
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO  TERPEL FONTIBON FERROCARRIL,TERPEL,GASOLINA CORRIENTE,8700,2018,5,2
13,BOLIVAR,13001,CARTAGENA DE INDIAS,ESTACION DE SERVICIO TRANSMAMONAL,ZEUSS,BIODIESEL,7500,2018,5,2
